City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,berlevag,70.86,29.09,24.8,92,75,8.05,NO,1585690169
1,ushuaia,-54.8,-68.3,50.0,71,75,6.93,AR,1585690133
2,bethel,41.37,-73.41,48.99,61,90,4.7,US,1585689918
3,biak,-0.91,122.88,80.2,72,98,4.74,ID,1585690170
4,makakilo city,21.35,-158.09,80.6,78,75,9.17,US,1585690170
5,mahebourg,-20.41,57.7,78.01,94,20,2.24,MU,1585689943
6,airai,-8.93,125.41,60.51,71,92,1.12,TL,1585690171
7,rikitea,-23.12,-134.97,78.69,73,100,8.08,PF,1585689901
8,atuona,-9.8,-139.03,82.18,80,1,15.46,PF,1585690171
9,ponta do sol,32.67,-17.1,60.8,67,20,17.22,PT,1585689927
10,lubao,14.92,120.55,78.8,73,20,4.7,PH,1585690171
11,norman wells,65.28,-126.83,12.2,47,5,20.8,CA,1585689967
12,port elizabeth,-33.92,25.57,62.6,77,26,12.75,ZA,1585690127
13,poum,-20.23,164.02,77.58,77,39,15.99,NC,1585690172
14,enshi,30.3,109.48,52.12,66,90,1.36,CN,1585690173
15,ballina,-28.87,153.57,68.0,100,65,5.82,AU,1585690012
16,punta arenas,-53.15,-70.92,57.2,66,40,10.29,CL,1585690011
17,hithadhoo,-0.6,73.08,83.03,70,50,9.71,MV,1585689977
18,longyearbyen,78.22,15.64,-2.2,84,20,2.24,SJ,1585689901
19,talara,-4.58,-81.27,79.7,65,34,10.45,PE,1585690173
20,jamestown,42.1,-79.24,46.0,81,90,6.93,US,1585689936
21,pingxiang,27.62,113.85,46.15,81,3,2.57,CN,1585690174
22,bengkulu,-3.8,102.27,77.41,81,100,3.33,ID,1585689992
23,bumba,2.18,22.47,73.49,86,99,1.05,CD,1585690174
24,ostrovnoy,68.05,39.51,21.76,91,100,17.54,RU,1585690174
25,mataura,-46.19,168.86,51.01,98,23,1.01,NZ,1585690175
26,yellowknife,62.46,-114.35,8.6,39,20,6.93,CA,1585690175
27,vao,-22.67,167.48,74.39,74,1,16.82,NC,1585690175
28,westport,41.14,-73.36,48.99,66,75,8.05,US,1585690175
29,ondjiva,-17.07,15.73,72.88,40,62,2.08,AO,1585690022
30,estevan,49.13,-102.98,44.6,75,90,23.04,CA,1585689954
31,bredasdorp,-34.53,20.04,64.4,59,28,8.05,ZA,1585690176
32,verkhnyaya balkariya,43.13,43.46,50.0,76,90,4.47,RU,1585690176
33,kumeny,58.11,49.92,26.04,97,100,6.69,RU,1585690176
34,gamba,-2.65,10.0,80.06,84,1,7.2,GA,1585690177
35,port alfred,-33.59,26.89,68.67,79,99,17.67,ZA,1585690177
36,luderitz,-26.65,15.16,64.4,63,0,11.41,NA,1585689912
37,bahia blanca,-38.72,-62.27,67.12,62,98,11.07,AR,1585689948
38,hasaki,35.73,140.83,50.0,93,75,6.93,JP,1585690159
39,nikolskoye,59.7,30.79,30.99,63,40,11.18,RU,1585690178
40,lerwick,60.15,-1.15,46.4,81,98,18.34,GB,1585690178
41,butaritari,3.07,172.79,83.55,78,82,18.19,KI,1585690178
42,itaituba,-4.28,-55.98,84.2,83,40,5.82,BR,1585690179
43,cape town,-33.93,18.42,63.0,77,20,17.22,ZA,1585690179
44,almeria,37.17,-2.33,59.0,87,79,3.36,ES,1585690179
45,mandali,33.75,45.55,68.72,36,87,10.4,IQ,1585690179
46,sistranda,63.73,8.83,39.2,69,75,21.92,NO,1585690180
